Paradise (1982);Adventure|Romance;NoTags
Pirate Movie, The (1982);Adventure|Comedy|Musical;NoTags
Santa Claus Is a Stinker (Le Père Noël est une ordure) (1982);Comedy;NoTags
Richard Pryor Live on the Sunset Strip (1982);Comedy|Documentary;NoTags
Sunless (Sans Soleil) (1983);Documentary;NoTags
Savannah Smiles (1982);Comedy;NoTags
Secret Policeman's Other Ball, The (1982);Comedy|Documentary|Musical;NoTags
Tenebre (1982);Horror|Mystery|Thriller;NoTags
They Call Me Bruce? (a.k.a. A Fistful of Chopsticks) (1982);Comedy;NoTags
Trail of the Pink Panther (1982);Comedy|Crime;NoTags
Venom (1982);Horror|Thriller;NoTags
White Dog (1982);Drama|Horror|Thriller;NoTags
Zapped! (1982);Comedy|Sci-Fi;NoTags
How to Lose a Guy in 10 Days (2003);Comedy|Romance;NoTags
Shanghai Knights (2003);Action|Adventure|Comedy;England
Daredevil (2003);Action|Crime;bad|Ben Affleck
Jungle Book 2, The (2003);Animation|Children;NoTags
All the Real Girls (2003);Drama|Romance;adolescence
Gerry (2002);Adventure|Drama;NoTags
He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002);Romance|Thriller;obsession
Dennis the Menace (1993);Comedy;NoTags
Black Stallion Returns, The (1983);Adventure|Children;NoTags
Black Stallion, The (1979);Adventure|Children|Drama;horses
Patch of Blue, A (1965);Drama|Romance;blind|blindness|race
Red Badge of Courage, The (1951);Drama|War;Civil War|Stephen Crane
Thrill of It All, The (1963);Comedy;NoTags
Pillow Talk (1959);Comedy|Musical|Romance;Day and Hudson|sexuality
Man Who Fell to Earth, The (1976);Drama|Sci-Fi;NoTags
Dark Blue (2003);Action|Crime|Drama|Thriller;NoTags
Gods and Generals (2003);Action|Drama|War;NoTags
Life of David Gale, The (2003);Crime|Drama|Thriller;NoTags
Old School (2003);Comedy;comedy|Will Ferrell
Open Hearts (Elsker dig for evigt) (2002);Romance;NoTags
Poolhall Junkies (2002);Comedy|Drama|Thriller;NoTags
Stone Reader (2002);Documentary;books|Stones of Summer
Cradle 2 the Grave (2003);Action|Crime|Drama|Thriller;NoTags
Spider (2002);Drama|Mystery;mental illness
Lady Jane (1986);Drama|Romance;England
Late Marriage (Hatuna Meuheret) (2001);Comedy|Drama|Romance;NoTags
Life Stinks (1991);Comedy;NoTags
Meteor Man, The (1993);Comedy;NoTags
Volcano High (Whasango) (2001);Action|Comedy;NoTags
Bringing Down the House (2003);Comedy;NoTags
Tears of the Sun (2003);Action|Drama|Thriller;NoTags
Irreversible (Irréversible) (2002);Crime|Drama|Mystery|Thriller;dark|disturbing
Laurel Canyon (2002);Drama;NoTags
Nowhere in Africa (Nirgendwo in Afrika) (2001);Drama;World War II
Safety of Objects, The (2001);Drama;NoTags
Bend It Like Beckham (2002);Comedy|Drama|Romance;soccer
Hunted, The (2003);Action|Drama|Thriller;NoTags
Willard (2003);Drama|Horror|Thriller;NoTags
Prozac Nation (2001);Drama;NoTags
Spun (2001);Comedy|Crime|Drama;NoTags
King of Kings (1961);Drama;NoTags
Talk of the Town, The (1942);Comedy|Romance|Thriller;In Netflix queue
Born Free (1966);Adventure|Children|Drama;animal movie|lions
Equus (1977);Drama|Mystery;NoTags
Europa Europa (Hitlerjunge Salomon) (1990);Drama|War;Holocaust|World War II
Glenn Miller Story, The (1953);Drama;NoTags
Green Card (1990);Comedy|Drama|Romance;immigrants
Journey to the Center of the Earth (1959);Adventure|Children|Sci-Fi;NoTags
Pauline at the Beach (Pauline à la Plage) (1983);Comedy|Drama|Romance;NoTags
Ringu (Ring) (1998);Horror|Mystery|Thriller;television
Salaam Bombay! (1988);Drama;In Netflix queue
Sweet Charity (1969);Comedy|Drama|Musical|Romance;prostitution
Talent for the Game (1991);Drama;NoTags
Boat Trip (2003);Comedy;NoTags
Dreamcatcher (2003);Drama|Horror|Sci-Fi|Thriller;NoTags
Piglet's Big Movie (2003);Animation|Children;NoTags
View from the Top (2003);Comedy|Romance;NoTags
Awful Truth, The (1937);Comedy|Romance;screwball
Basic (2003);Drama|Thriller|War;NoTags
Core, The (2003);Action|Drama|Sci-Fi|Thriller;NoTags
Head of State (2003);Comedy;NoTags
What a Girl Wants (2003);Comedy|Drama|Romance;NoTags
Assassination Tango (2002);Drama|Thriller;NoTags
Raising Victor Vargas (2002);Comedy|Drama|Romance;adolescence
Stevie (2002);Documentary;Big Brothers
Akira Kurosawa's Dreams (Dreams) (1990);Drama|Fantasy;NoTags
Day for Night (La Nuit Américaine) (1973);Comedy|Drama|Romance;NoTags
In a Lonely Place (1950);Drama|Film-Noir|Mystery|Romance;L.A.
Good Thief, The (2002);Crime|Drama;NoTags
Man Apart, A (2003);Action|Crime|Drama|Thriller;NoTags
Phone Booth (2002);Drama|Thriller;crime
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001);Action|Animation|Sci-Fi|Thriller;amazing artwork|anime|sci-fi
Levity (2003);Drama;NoTags
Man Without a Past, The (Mies vailla menneisyyttä) (2002);Comedy|Crime|Drama;amnesia
Anger Management (2003);Comedy;NoTags
Better Luck Tomorrow (2002);Crime|Drama;gangs
Ghosts of the Abyss (2003);Documentary|IMAX;Titanic
House of 1000 Corpses (2003);Horror;Rob Zombie
Lilya 4-Ever (Lilja 4-ever) (2002);Crime|Drama;prostitution|Depressing|melancholy|sad
Bulletproof Monk (2003);Action|Adventure|Sci-Fi;NoTags
Chasing Papi (a.k.a. Papi Chulo) (2003);Comedy;NoTags
Mighty Wind, A (2003);Comedy|Musical;mockumentary
Holes (2003);Adventure|Children|Comedy|Mystery;children
Malibu's Most Wanted (2003);Comedy|Crime;NoTags
Winged Migration (Peuple migrateur, Le) (2001);Documentary;birds
Flickering Lights (Blinkende lygter) (2000);Action|Comedy|Crime;NoTags
Straw Dogs (1971);Drama|Thriller;NoTags
Beginning of the End (1957);Sci-Fi;NoTags
Andromeda Strain, The (1971);Mystery|Sci-Fi;NoTags
Fahrenheit 451 (1966);Drama|Sci-Fi;Ray Bradbury
I Am Trying to Break Your Heart (2002);Documentary;NoTags
Legal Eagles (1986);Comedy|Crime|Romance;lawyers
Memories of Me (1988);Comedy|Drama;NoTags
Sibling Rivalry (1990);Comedy;NoTags
Undercover Blues (1993);Comedy|Crime;NoTags
Wildcats (1986);Comedy;NoTags
Wiz, The (1978);Adventure|Children|Comedy|Fantasy|Musical;NoTags
My Father the Hero (Mon père, ce héros.) (1991);Comedy|Drama;NoTags
Scenes from a Mall (1991);Comedy;NoTags
Confidence (2003);Crime|Thriller;NoTags
Identity (2003);Crime|Horror|Mystery|Thriller;John Cusack
It Runs in the Family (2003);Comedy|Drama;NoTags
Decade Under the Influence, A (2003);Documentary;1970s|movies
Manic (2001);Drama;NoTags
People I Know (2002);Crime|Drama;NoTags
Spellbound (2002);Documentary;spelling bee
Lizzie McGuire Movie, The (2003);Children|Comedy|Romance;NoTags
X2: X-Men United (2003);Action|Adventure|Sci-Fi|Thriller;Jean Grey|Magneto|Rogue|superhero|Wolverine
Blue Car (2002);Drama;teachers
Dancer Upstairs, The (2002);Crime|Drama|Thriller;NoTags
Marooned in Iraq (Gomgashtei dar Aragh) (2002);Drama;NoTags
Owning Mahowny (2003);Crime|Drama|Thriller;gambling
Daddy Day Care (2003);Children|Comedy;NoTags
Man on the Train (Homme du train, L') (2002);Comedy|Drama;trains
Shape of Things, The (2003);Drama;art
Trip, The (2002);Comedy|Drama|Romance;NoTags
101 Reykjavik (101 Reykjavík) (2000);Comedy|Drama|Romance;NoTags
Chorus Line, A (1985);Comedy|Drama|Musical;NoTags
Beat Street (1984);Drama|Musical;NoTags
Breakin' 2: Electric Boogaloo (1984);Musical;NoTags
Breakin' (1984);Drama|Musical;NoTags
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986);Action|Adventure|Animation|Children|Fantasy|Sci-Fi;anime
High Society (1956);Comedy|Musical|Romance;NoTags
Kiss Me Kate (1953);Comedy|Musical|Romance;NoTags
Matrix Reloaded, The (2003);Action|Adventure|Sci-Fi|Thriller|IMAX;NoTags
Down with Love (2003);Comedy|Romance;Ewan McGregor|Renee Zellweger|retro
Cinemania (2002);Documentary;movies
Spanish Apartment, The (L'auberge espagnole) (2002);Comedy|Drama|Romance;NoTags
Pokémon Heroes (2003);Animation|Children;NoTags
Bruce Almighty (2003);Comedy|Drama|Fantasy|Romance;religion|classic
In-Laws, The (2003);Comedy;NoTags
Gigantic (A Tale of Two Johns) (2002);Documentary;In Netflix queue|They Might Be Giants
Respiro (2002);Comedy|Drama;NoTags
Finding Nemo (2003);Adventure|Animation|Children|Comedy;Disney|fish|heartwarming
Italian Job, The (2003);Action|Crime;heist
Wrong Turn (2003);Horror|Thriller;NoTags
Capturing the Friedmans (2003);Documentary;child abuse
Together (Han ni Zai Yiki) (2002);Drama;NoTags
2 Fast 2 Furious (Fast and the Furious 2, The) (2003);Action|Crime|Thriller;NoTags
Whale Rider (2002);Drama;Girl Power
Nevada Smith (1966);Western;NoTags
Once a Thief (Zong heng si hai) (1991);Action|Comedy|Crime|Thriller;NoTags
Silk Stockings (1957);Musical;Ninotchka remake
Crazies, The (a.k.a. Code Name: Trixie) (1973);Action|Drama|Horror|Sci-Fi|Thriller;NoTags
Murder on a Sunday Morning (Un coupable idéal) (2001);Documentary;documentary|crime
Siam Sunset (1999);Comedy;NoTags
Treasure Island (1950);Adventure|Children;NoTags
Walk, Don't Run (1966);Comedy|Romance;Olympics|Tokyo
Animals are Beautiful People (1974);Comedy|Documentary;NoTags
Car Wash (1976);Comedy;NoTags
Destry Rides Again (1939);Comedy|Western;NoTags
Intervista (1987);Comedy|Drama;NoTags
Live Wire (1992);Action;NoTags
Shenandoah (1965);Drama|War|Western;Civil War
Oscar (1991);Comedy|Crime|Mystery|Romance;NoTags
6th Man, The (Sixth Man, The) (1997);Comedy;NoTags
Railway Children, The (1970);Children|Drama;NoTags
Two Mules for Sister Sara (1970);Comedy|War|Western;NoTags
Winchester '73 (1950);Western;NoTags
Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929);Documentary;NoTags
Objective, Burma! (1945);War;NoTags
This Boy's Life (1993);Drama;NoTags
Barton Fink (1991);Drama|Thriller;movie business
Belle époque (1992);Comedy|Romance;NoTags
Flight of the Phoenix, The (1965);Action|Adventure|Drama;NoTags
From the Terrace (1960);Drama;NoTags
Long, Hot Summer, The (1958);Drama;In Netflix queue
Man of Aran (1934);Documentary;NoTags
Music Box (1989);Drama;Nazis
Trial, The (Procès, Le) (1962);Drama;NoTags
Unforgiven, The (1960);Drama|Western;NoTags
Good Burger (1997);Children|Comedy;NoTags
Jubilee (1977);Drama;NoTags
Mississippi Masala (1991);Drama|Romance;In Netflix queue
Shattered (1991);Mystery|Thriller;NoTags
Song of Bernadette, The (1943);Drama;NoTags
Thoroughly Modern Millie (1967);Comedy|Musical;NoTags
Dumb and Dumberer: When Harry Met Lloyd (2003);Comedy;NoTags
From Justin to Kelly (2003);Musical|Romance;NoTags
Hollywood Homicide (2003);Action|Crime|Drama;NoTags
Alex and Emma (2003);Comedy|Drama|Romance;NoTags
28 Days Later (2002);Action|Horror|Sci-Fi;zombies|zombies
Charlie's Angels: Full Throttle (2003);Action|Adventure|Comedy|Crime|Thriller;NoTags
Fulltime Killer (Chuen jik sat sau) (2001);Action|Thriller;NoTags
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974);Drama|Romance;NoTags
Bodies, Rest & Motion (1993);Drama|Romance;NoTags
Ring of Terror (1962);Horror;NoTags
You Only Live Once (1937);Crime|Film-Noir;fugitive
Anastasia (1956);Drama;In Netflix queue
Babe, The (1992);Drama;NoTags
Mr. Baseball (1992);Comedy|Romance;NoTags
Scaramouche (1952);Adventure|Romance;NoTags
Start the Revolution Without Me (1970);Comedy;NoTags
Tenant, The (Locataire, Le) (1976);Drama|Horror|Mystery|Thriller;NoTags
What's Up, Doc? (1972);Comedy;NoTags
Hulk (2003);Action|Adventure|Sci-Fi;dogs|Eric Bana|mad scientist|marvel
Legally Blonde 2: Red, White & Blonde (2003);Comedy;politics
Sinbad: Legend of the Seven Seas (2003);Adventure|Animation|Children|Fantasy;swashbuckler
Terminator 3: Rise of the Machines (2003);Action|Adventure|Sci-Fi;NoTags
Swimming Pool (2003);Drama|Mystery|Thriller;NoTags
Pirates of the Caribbean: The Curse of the Black Pearl (2003);Action|Adventure|Comedy|Fantasy;swashbuckler
League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003);Action|Fantasy|Sci-Fi;captain nemo|comic book|gothic|Peta Wilson|Sean Connery|superhero
Cuckoo, The (Kukushka) (2002);Comedy|Drama|War;NoTags
I Capture the Castle (2003);Drama|Romance;Dodie Smith
Northfork (2003);Drama|Fantasy;flood
Bad Boys II (2003);Action|Comedy|Crime|Thriller;NoTags
How to Deal (2003);Comedy|Drama|Romance;NoTags
Johnny English (2003);Action|Comedy|Thriller;NoTags
Anarchist Cookbook, The (2002);Comedy|Romance;NoTags
Dirty Pretty Things (2002);Crime|Drama|Thriller;immigration
Embalmer, The (Imbalsamatore, L') (2002);Drama;NoTags
Garage Days (2002);Comedy|Musical;NoTags
Born to Be Wild (1995);Adventure|Children|Comedy|Drama;NoTags
Curly Sue (1991);Comedy|Drama;NoTags
Little Giants (1994);Children|Comedy;NoTags
Loose Cannons (1990);Action|Comedy;NoTags
Mouse That Roared, The (1959);Comedy|War;NoTags
Masked & Anonymous (2003);Comedy|Drama;NoTags
Lara Croft Tomb Raider: The Cradle of Life (2003);Action|Adventure|Comedy|Romance|Thriller;adventure|Angelina Jolie|heroine in tight suit
Seabiscuit (2003);Drama;horses
Spy Kids 3-D: Game Over (2003);Action|Adventure|Children;NoTags
Buffalo Soldiers (2001);Comedy|Crime|Drama|War;NoTags
Camp (2003);Comedy|Musical;NoTags
Mondays in the Sun (Lunes al sol, Los) (2002);Drama;NoTags
Scorched (2003);Comedy|Crime;NoTags
Avanti! (1972);Comedy|Drama;NoTags
Eve of Destruction (1991);Action|Sci-Fi|Thriller;NoTags
Kickboxer 2: The Road Back (1991);Action|Drama;NoTags
Kiss Me, Stupid (1964);Comedy;NoTags
One, Two, Three (1961);Comedy;Japan
Private Life of Sherlock Holmes, The (1970);Comedy|Drama|Mystery;NoTags
Remo Williams: The Adventure Begins (1985);Action|Comedy|Crime|Thriller;NoTags
Blood of Heroes, The (Salute of the Jugger, The) (1989);Action|Sci-Fi;NoTags
What's Up, Tiger Lily? (1966);Adventure|Comedy|Crime|Thriller;NoTags
American Wedding (American Pie 3) (2003);Comedy;NoTags
Gigli (2003);Comedy|Crime|Romance;NoTags
And Now... Ladies and Gentlemen... (2002);Romance|Thriller;NoTags
Magdalene Sisters, The (2002);Drama;religion
Secret Lives of Dentists, The (2002);Drama;marriage
Freaky Friday (2003);Children|Comedy|Fantasy;NoTags
S.W.A.T. (2003);Action|Thriller;NoTags
Divorce, Le (2003);Comedy|Drama|Romance;NoTags
Princess Blade, The (Shura Yukihime) (2001);Action|Sci-Fi;NoTags
Step Into Liquid (2002);Documentary;NoTags
Double Life, A (1947);Crime|Drama|Film-Noir;Othello
Hawks and Sparrows (Uccellacci e Uccellini) (1966);Comedy;NoTags
Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il) (1964);Drama;Bible
Umberto D. (1952);Drama;NoTags
Brother's Keeper (1992);Documentary;NoTags
I Love You to Death (1990);Comedy|Crime;NoTags
Freddy vs. Jason (2003);Action|Horror|Thriller;NoTags
Grind (2003);Action|Comedy;NoTags
Open Range (2003);Western;NoTags
Shaolin Soccer (Siu lam juk kau) (2001);Action|Comedy;NoTags
Uptown Girls (2003);Comedy;NoTags
American Splendor (2003);Comedy|Drama;cancer
Agent Cody Banks (2003);Action|Adventure|Children|Fantasy;NoTags
Camp Nowhere (1994);Adventure|Children|Comedy;NoTags
Hot Dog... The Movie (1984);Comedy;NoTags
House of Wax (1953);Crime|Horror|Mystery|Thriller;NoTags
Man's Best Friend (1993);Horror|Sci-Fi|Thriller;NoTags
Sure Thing, The (1985);Comedy|Romance;road trip
Valley Girl (1983);Comedy|Romance;NoTags
Wait Until Dark (1967);Drama|Thriller;blindness
Tokyo Story (Tôkyô monogatari) (1953);Drama;NoTags
Green Ray, The (Rayon vert, Le) (1986);Drama|Romance;NoTags
THX 1138 (1971);Action|Adventure|Drama|Sci-Fi;NoTags
Kind Hearts and Coronets (1949);Comedy|Drama;family|multiple roles|murder
Atragon (Kaitei Gunkan) (1963);Adventure|Sci-Fi;NoTags
Attack of the Puppet People (1958);Horror|Sci-Fi;NoTags
10 (1979);Comedy|Romance;NoTags
Tremors (1990);Comedy|Horror|Sci-Fi;NoTags
Red Shoes, The (1948);Drama|Fantasy|Musical|Romance;ballet
Pink Panther, The (1963);Comedy|Crime;Clousseau
Pink Panther Strikes Again, The (1976);Comedy|Crime;NoTags
Commando (1985);Action|Adventure;NoTags
Dracula (1979);Horror|Romance;NoTags
Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972);Comedy|Drama|Fantasy;NoTags
Waco: The Rules of Engagement (1997);Documentary;FBI
Road Home, The (Wo de fu qin mu qin) (1999);Drama|Romance;In Netflix queue
Ikiru (1952);Drama;terminal illness|meditative|philosophical|poignant|purposefulness
Comic Book Villains (2002);Comedy;NoTags
Angel at My Table, An (1990);Drama;NoTags
Handmaid's Tale, The (1990);Drama|Sci-Fi;NoTags
Revolution OS (2001);Documentary;NoTags
Death in Venice (Morte a Venezia) (1971);Drama|Romance;NoTags
Medallion, The (2003);Action|Comedy|Crime|Fantasy;NoTags
My Boss's Daughter (2003);Comedy|Romance;NoTags
Autumn Spring (Babí léto) (2001);Comedy|Drama;NoTags
Battle of Shaker Heights, The (2003);Comedy|Drama|Romance;NoTags
Dust (2001);Drama|Western;NoTags
Stoked: The Rise and Fall of Gator (2002);Documentary;NoTags
Jeepers Creepers 2 (2003);Horror|Thriller;NoTags
Bollywood/Hollywood (2002);Comedy|Drama|Musical|Romance;NoTags
Once Upon a Time in the Midlands (2002);Drama;NoTags
Dickie Roberts: Former Child Star (2003);Comedy;NoTags
Party Monster (2003);Comedy|Crime|Drama|Thriller;NoTags
Taking Sides (2001);Drama;NoTags
Cabin Fever (2002);Horror|Thriller;NoTags
Matchstick Men (2003);Comedy|Crime|Drama;con men|fatherhood
Once Upon a Time in Mexico (2003);Action|Adventure|Crime|Thriller;NoTags
Dummy (2002);Comedy|Drama|Romance;vertriloquism
Lost in Translation (2003);Comedy|Drama|Romance;atmospheric|Japan
Millennium Actress (Sennen joyû) (2001);Animation|Drama|Romance;In Netflix queue
Children of the Night (1991);Horror;NoTags
Gotcha! (1985);Comedy;NoTags
Kuffs (1992);Action|Comedy|Crime;NoTags
Once Upon a Time in China (Wong Fei Hung) (1991);Action|Adventure|Drama;NoTags
Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung) (1992);Action|Romance;NoTags
Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993);Action;NoTags
Paper Moon (1973);Comedy|Crime|Drama;In Netflix queue
Day of the Dead (1985);Horror|Sci-Fi|Thriller;NoTags
Hello, Dolly! (1969);Comedy|Musical|Romance;matchmaker
Memoirs of an Invisible Man (1992);Comedy|Romance|Sci-Fi|Thriller;NoTags
Once Bitten (1985);Comedy|Horror;vampire
Squirm (1976);Horror|Romance;NoTags
Brood, The (1979);Horror;NoTags
Anything Else (2003);Comedy|Drama|Romance;NoTags
Cold Creek Manor (2003);Drama|Thriller;NoTags
Fighting Temptations, The (2003);Drama;NoTags
Secondhand Lions (2003);Children|Comedy|Drama;Animal movie
Underworld (2003);Action|Fantasy|Horror;NoTags
Bubba Ho-tep (2002);Comedy|Horror;NoTags
In This World (2002);Adventure|Drama;NoTags
Duplex (2003);Comedy|Crime;NoTags
Rundown, The (2003);Action|Adventure|Comedy;NoTags
Under the Tuscan Sun (2003);Comedy|Drama|Romance;NoTags
Luther (2003);Drama;religion
Mambo Italiano (2003);Comedy;NoTags
My Life Without Me (2003);Drama|Romance;adultery|terminal illness
To Be and to Have (Être et avoir) (2002);Documentary;NoTags
Triplets of Belleville, The (Les triplettes de Belleville) (2003);Animation|Comedy|Fantasy;biking
Videodrome (1983);Fantasy|Horror|Sci-Fi|Thriller;NoTags
Life and Debt (2001);Documentary;NoTags
Lagaan: Once Upon a Time in India (2001);Comedy|Drama|Musical|Romance;India
Judgment at Nuremberg (1961);Drama;NoTags
Brief History of Time, A (1991);Documentary;NoTags
Leningrad Cowboys Go America (1989);Comedy|Musical;NoTags
Rules of the Game, The (La règle du jeu) (1939);Comedy|Drama;NoTags
Seven Brides for Seven Brothers (1954);Comedy|Musical|Romance|Western;Lonesome Polecat
Kiss of the Spider Woman (1985);Drama;In Netflix queue
All the President's Men (1976);Drama|Thriller;journalism|Watergate|Deep Throat
Angie (1994);Comedy|Drama|Romance;pregnancy
Apartment, The (Appartement, L') (1996);Drama|Mystery|Romance;NoTags
Avalon (2001);Drama|Fantasy|Sci-Fi;NoTags
Babette's Feast (Babettes gæstebud) (1987);Drama;Food
Beethoven (1992);Children|Comedy|Drama;NoTags
Beethoven's 2nd (1993);Children|Comedy;NoTags
Boyz N the Hood (1991);Crime|Drama;NoTags
Bugsy (1991);Crime|Drama;NoTags
Bugsy Malone (1976);Children|Comedy|Crime|Musical;NoTags
Cobra (1986);Action|Crime;NoTags
Phenomena (a.k.a. Creepers) (1985);Horror|Mystery|Thriller;NoTags
Crimewave (1985);Comedy|Crime;NoTags
Monty Python's The Meaning of Life (1983);Comedy;british comedy
Where Eagles Dare (1968);Action|Adventure|War;NoTags
Tightrope (1984);Thriller;NoTags
Sleeping with the Enemy (1991);Drama|Thriller;domestic violence
PCU (1994);Comedy;NoTags
Rookie, The (1990);Action|Comedy|Thriller;NoTags
City Heat (1984);Action|Comedy;NoTags
Three O'Clock High (1987);Comedy;NoTags
White Hunter, Black Heart (1990);Adventure|Drama;NoTags
Come and See (Idi i smotri) (1985);Drama|War;atmospheric|bleak|disturbing|gritty|harsh
Ginger Snaps (2000);Drama|Horror|Thriller;werewolf
More American Graffiti (1979);Comedy;NoTags
It's Pat (1994);Comedy;NoTags
Regarding Henry (1991);Drama;amnesia
Alien Contamination (1980);Action|Horror|Sci-Fi;NoTags
Amazing Transparent Man, The (1960);Sci-Fi;NoTags
Love Affair (1939);Comedy|Drama|Romance;NoTags
Scrooge (1970);Drama|Fantasy|Musical;Christmas
Leap of Faith (1992);Comedy|Drama;NoTags
Gas, Food, Lodging (1992);Drama|Romance;NoTags
In Cold Blood (1967);Crime|Drama;black and white|Capote|crime|death penalty|murder
Campus Man (1987);Comedy;NoTags
Yankee Doodle Dandy (1942);Drama|Musical;biopic
Ninja Scroll (Jûbei ninpûchô) (1995);Action|Adventure|Animation|Fantasy;NoTags
Knife in the Water (Nóz w wodzie) (1962);Drama;NoTags
Mobsters (1991);Crime|Drama;NoTags
Out of Time (2003);Crime|Drama|Thriller;NoTags
School of Rock (2003);Comedy|Musical;school
Station Agent, The (2003);Comedy|Drama;trains
Wonderland (2003);Crime|Drama|Mystery|Thriller;NoTags
Bus 174 (Ônibus 174) (2002);Crime|Documentary;NoTags
Mystic River (2003);Crime|Drama|Mystery;child abuse|kidnapping
House of the Dead, The (2003);Action|Horror;NoTags
Intolerable Cruelty (2003);Comedy|Romance;NoTags
Kill Bill: Vol. 1 (2003);Action|Crime|Thriller;martial arts|revenge
Runaway Jury (2003);Drama|Thriller;NoTags
Texas Chainsaw Massacre, The (2003);Horror;NoTags
Pieces of April (2003);Comedy|Drama;Thanksgiving
Returner (Ritaanaa) (2002);Action|Adventure|Sci-Fi;NoTags
Sylvia (2003);Drama|Romance;NoTags
Veronica Guerin (2003);Crime|Drama|Thriller;NoTags
In the Cut (2003);Crime|Drama|Mystery|Romance|Thriller;NoTags
Beyond Borders (2003);Drama|Romance|War;NoTags
Radio (2003);Drama;NoTags
Scary Movie 3 (2003);Comedy|Horror;NoTags
Brother Bear (2003);Adventure|Animation|Children;NoTags
Elephant (2003);Drama;adolescence|violence in america
Italian Job, The (1969);Action|Comedy|Crime;NoTags
Sweet Sixteen (2002);Drama;NoTags
Alien from L.A. (1988);Sci-Fi;NoTags
Interstate 60 (2002);Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi|Thriller;NoTags
Eye, The (Gin gwai) (Jian gui) (2002);Thriller;transplants
Jolson Story, The (1946);Musical;NoTags
You'll Never Get Rich (1941);Comedy|Musical|Romance;Rita Hayworth can dance!
Unvanquished, The (Aparajito) (1957);Drama;India
Cercle Rouge, Le (Red Circle, The) (1970);Crime|Thriller;NoTags
Human Stain, The (2003);Drama|Romance|Thriller;NoTags
Shattered Glass (2003);Crime|Drama;journalism
Matrix Revolutions, The (2003);Action|Adventure|Sci-Fi|Thriller|IMAX;NoTags
Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003);Documentary;NoTags
Elf (2003);Children|Comedy|Fantasy;christmas
Billabong Odyssey (2003);Documentary;big wave|surfing
Gloomy Sunday (Ein Lied von Liebe und Tod) (1999);Drama|Romance;NoTags
Love Actually (2003);Comedy|Drama|Romance;NoTags
Father of the Bride (1991);Comedy;remake|wedding
My Architect: A Son's Journey (2003);Documentary;NoTags
Looney Tunes: Back in Action (2003);Action|Animation|Children|Fantasy;NoTags
Master and Commander: The Far Side of the World (2003);Adventure|Drama|War;NoTags
Tupac: Resurrection (2003);Documentary;music business|rap
Big Empty, The (2003);Comedy|Mystery|Sci-Fi;NoTags
Missing, The (2003);Adventure|Thriller|Western;NoTags
Cat in the Hat, The (2003);Children|Comedy;NoTags
Gothika (2003);Horror|Thriller;NoTags
21 Grams (2003);Crime|Drama|Mystery|Romance|Thriller;DEPRESSING
Barbarian Invasions, The (Les invasions barbares) (2003);Comedy|Crime|Drama|Mystery|Romance;NoTags
Bad Santa (2003);Comedy|Crime;NoTags
Haunted Mansion, The (2003);Children|Comedy|Fantasy|Horror;NoTags
Timeline (2003);Action|Adventure|Sci-Fi;NoTags
Damage (Fatale) (1992);Drama;NoTags
OT: Our Town (2002);Documentary;NoTags
Devil's Playground (2002);Documentary;Amish
Journeys with George (2002);Documentary;NoTags
Darkman (1990);Action|Crime|Fantasy|Sci-Fi|Thriller;NoTags
Dead of Night (1945);Horror|Mystery;NoTags
Dernier Combat, Le (Last Battle, The) (1983);Drama|Sci-Fi;NoTags
Desk Set (1957);Comedy|Romance;Hepburn and Tracy
Europa (Zentropa) (1991);Drama|Thriller;NoTags
Final Analysis (1992);Drama|Romance|Thriller;NoTags
Freshman, The (1990);Comedy|Crime;NoTags
Funny Games (1997);Drama|Horror|Thriller;NoTags
Slacker (1991);Comedy|Drama;NoTags
WarGames (1983);Drama|Sci-Fi|Thriller;Cold War
Ordet (Word, The) (1955);Drama;religion
Forbidden Games (Jeux interdits) (1952);Drama|War;NoTags
Jane Eyre (1944);Drama|Romance;NoTags
Tale of Two Cities, A (1935);Drama;Dickens
Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928);Drama;saint
Ben-Hur: A Tale of the Christ (1925);Adventure|Drama|Romance;NoTags
Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920);Crime|Fantasy|Horror;NoTags
Gorky Park (1983);Crime|Drama|Thriller;NoTags
The Great Train Robbery (1978);Action|Adventure|Comedy|Crime|Drama;NoTags
Guarding Tess (1994);Comedy|Drama;NoTags
Hannah and Her Sisters (1986);Comedy|Drama|Romance;family
Hard Way, The (1991);Action|Comedy;NoTags
Highlander II: The Quickening (1991);Action|Sci-Fi;NoTags
Hoffa (1992);Crime|Drama;NoTags
House of Cards (1993);Drama;NoTags
Housesitter (1992);Comedy|Romance;NoTags
